Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,State,BodyType,Doors,Seats,Price,Cylinders,Capacity(Liters),Country
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,AWD,Diesel,8.7,5595,White / Black,New South Wales,SUV,4,7,51990,4,2.2,Australia
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,Front,Premium,6.7,16,Black / Black,New South Wales,Hatchback,5,5,19990,4,1.5,Australia
BMW,2022,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,Rear,Premium,6.6,8472,Grey / White,New South Wales,Coupe,2,4,108988,4,2.0,Australia
Mercedes-Benz,2011,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,Rear,Premium,11.0,136517,White / Brown,New South Wales,Coupe,2,4,32990,8,5.5,Australia
Renault,2022,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,Front,Unleaded,6.0,1035,Grey / Black,New South Wales,SUV,4,5,34990,4,1.3,Australia
Land,2017,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,AWD,Diesel,5.1,67662,White / Black,New South Wales,SUV,2,4,62280,4,2.0,Australia
Nissan,2000,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,Front,Unleaded,8.0,300539,Red / Grey,New South Wales,Hatchback,5,5,2995,4,1.6,Australia
Toyota,2013,86,Coupe,2013 Toyota 86 GT,USED,Automatic,Rear,Premium,7.1,82012,Black / -,New South Wales,Coupe,2,4,24888,4,2.0,Australia
Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,Front,Hybrid,4.5,38229,Blue / -,New South Wales,Hatchback,5,5,17900,4,1.3,Australia
Toyota,2018,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,Rear,Unleaded,9.8,16324,White / Grey,New South Wales,Commercial,4,2,41999,4,2.7,Australia
Toyota,2016,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,Rear,Diesel,8.0,229829,White / Grey,New South Wales,Commercial,4,2,27995,4,3.0,Australia
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,Front,Premium,6.2,55676,White / Black,New South Wales,Hatchback,5,5,14999,4,1.4,Australia
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,5.6,82624,Black / Black,New South Wales,SUV,4,5,24985,4,2.0,Australia
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,Rear,Diesel,5.4,95204,Silver / -,New South Wales,Hatchback,5,5,13999,4,2.0,Australia
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,Front,Unleaded,5.4,76289,White / Black,New South Wales,Hatchback,5,5,12400,3,1.0,Australia
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,AWD,Unleaded,7.5,219681,Black / Black,New South Wales,SUV,4,7,13999,4,2.4,Australia
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,Front,Unleaded,6.1,98079,Blue / Black,New South Wales,Hatchback,5,5,11999,4,1.6,Australia
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,AWD,Diesel,8.4,15,White / Black,New South Wales,Ute / Tray,4,5,83887,6,3.0,Australia
